company,question,answer
connect_bpo,"What services do you offer?","Connect BPO provides HR outsourcing, quality assurance, IT support, and finance process outsourcing."
connect_bpo,"What IT services do you provide?","We offer 24/7 IT help desk, network monitoring, infrastructure management, and end-user support."
connect_bpo,"What is HR outsourcing?","We handle recruitment, payroll, employee benefits, compliance, and performance management."
connect_bpo,"How do I contact sales?","Email sales@connectbpo.com or call +1-555-0123."
connect_bpo,"What are your prices?","Please contact our sales team for a custom quote based on your needs."
connect_bpo,"Where are you located?","Our main office is in Colombo, Sri Lanka, with remote teams globally."
cospaces,"What workspace options do you have?","We offer shared desks, private offices, virtual office addresses, and meeting rooms."
cospaces,"What are your rates?","Please visit our booking portal at cospaces.lk for current pricing."
cospaces,"Do you have parking?","Yes, free parking is available for all private office tenants."
cospaces,"What are your business hours?","Monday to Friday, 8 AM to 8 PM. Private office tenants have 24/7 access."
cloud99x,"What digital services do you offer?","We provide web development, mobile app development, AI/ML solutions, and cybersecurity."
cloud99x,"Do you build custom software?","Yes, we develop custom software platforms, e-commerce sites, and enterprise applications."
cloud99x,"What technologies do you use?","We specialize in React, Node.js, Python, AWS, and modern cloud architectures."
